YEAR;MONTH.DISC;DAY.DISC;MONTH.CONT;LONG.DD;LAT.DD
1996.00;7.00;25.00;9.00;-120.83;44.15
1996.00;8.00;25.00;9.00;-121.75;43.52
1996.00;8.00;25.00;9.00;-121.88;43.38
1996.00;8.00;25.00;9.00;-122.14;43.03
1996.00;8.00;25.00;9.00;-122.15;43.00
1996.00;8.00;25.00;9.00;-122.20;42.93
1996.00;8.00;25.00;9.00;-122.34;42.77
1996.00;8.00;25.00;9.00;-122.51;42.59
1996.00;8.00;25.00;9.00;-122.61;42.53
1996.00;9.00;25.00;9.00;-122.68;42.46
1996.00;9.00;24.00;9.00;-117.28;45.49
1996.00;7.00;24.00;9.00;-120.66;44.22
1996.00;7.00;24.00;9.00;-120.86;44.14
1996.00;7.00;24.00;9.00;-120.88;44.12
1996.00;7.00;24.00;9.00;-120.92;44.10
1996.00;8.00;24.00;9.00;-121.56;43.68
1996.00;8.00;24.00;9.00;-121.71;43.54
1996.00;9.00;24.00;9.00;-122.00;43.22
1996.00;8.00;24.00;9.00;-122.54;42.56
1996.00;8.00;24.00;9.00;-122.54;42.56
1996.00;9.00;23.00;9.00;-118.20;45.12
1996.00;8.00;23.00;9.00;-118.54;44.97
1996.00;9.00;23.00;9.00;-121.54;43.68
1996.00;9.00;23.00;9.00;-121.64;43.59
1996.00;8.00;23.00;9.00;-121.66;43.58
1996.00;8.00;23.00;9.00;-122.05;43.15
1996.00;8.00;23.00;9.00;-122.05;43.15
1996.00;8.00;23.00;9.00;-122.07;43.13
1996.00;8.00;23.00;9.00;-122.07;43.13
1996.00;8.00;23.00;9.00;-122.54;42.56
1996.00;8.00;23.00;9.00;-122.54;42.56
1996.00;8.00;23.00;9.00;-122.54;42.56
1996.00;8.00;23.00;9.00;-122.56;42.55
1996.00;8.00;23.00;9.00;-122.59;42.53
1996.00;9.00;22.00;9.00;-119.86;44.40
1996.00;9.00;22.00;9.00;-121.80;43.46
1996.00;9.00;21.00;9.00;-121.78;43.47
1996.00;9.00;20.00;9.00;-121.85;43.41
1996.00;9.00;18.00;9.00;-116.90;45.76
1996.00;9.00;18.00;9.00;-118.56;44.95
1996.00;8.00;18.00;9.00;-118.61;44.88
1996.00;9.00;18.00;9.00;-121.53;43.70
1996.00;9.00;16.00;9.00;-121.63;43.62
1996.00;9.00;16.00;9.00;-121.88;43.37
1996.00;8.00;15.00;9.00;-117.66;45.25
1996.00;7.00;15.00;9.00;-120.61;44.24
1996.00;8.00;14.00;9.00;-118.29;45.09
1996.00;9.00;14.00;9.00;-118.46;45.00
1996.00;8.00;14.00;9.00;-118.49;45.00
1996.00;8.00;14.00;9.00;-118.58;44.93
1996.00;8.00;14.00;9.00;-118.61;44.88
1996.00;8.00;14.00;9.00;-119.58;44.49
1996.00;8.00;14.00;9.00;-120.88;44.13
1996.00;9.00;14.00;9.00;-121.73;43.53
1996.00;8.00;14.00;9.00;-121.81;43.44
1996.00;8.00;14.00;9.00;-122.17;42.97
1996.00;9.00;13.00;9.00;-117.12;45.63
1996.00;9.00;13.00;9.00;-117.31;45.47
1996.00;9.00;13.00;9.00;-117.42;45.41
1996.00;9.00;13.00;9.00;-117.59;45.29
1996.00;9.00;13.00;9.00;-117.68;45.25
1996.00;9.00;13.00;9.00;-117.73;45.24
1996.00;9.00;13.00;9.00;-118.00;45.19
1996.00;9.00;13.00;9.00;-118.24;45.10
1996.00;9.00;13.00;9.00;-118.27;45.09
1996.00;9.00;13.00;9.00;-118.39;45.03
1996.00;9.00;13.00;9.00;-118.41;45.03
1996.00;9.00;13.00;9.00;-118.58;44.92
1996.00;8.00;13.00;9.00;-118.59;44.90
1996.00;8.00;13.00;9.00;-118.61;44.89
1996.00;8.00;13.00;9.00;-118.61;44.88
1996.00;8.00;13.00;9.00;-118.64;44.85
1996.00;8.00;13.00;9.00;-118.68;44.83
1996.00;8.00;13.00;9.00;-118.68;44.83
1996.00;8.00;13.00;9.00;-118.68;44.83
1996.00;8.00;13.00;9.00;-119.68;44.46
1996.00;8.00;13.00;9.00;-120.79;44.17
1996.00;9.00;13.00;9.00;-121.75;43.51
1996.00;9.00;13.00;9.00;-121.97;43.30
1996.00;8.00;13.00;9.00;-122.17;42.97
1996.00;8.00;13.00;9.00;-122.20;42.93
1996.00;9.00;13.00;9.00;-122.25;42.87
1996.00;8.00;13.00;9.00;-122.27;42.83
1996.00;8.00;13.00;9.00;-122.27;42.83
1996.00;8.00;13.00;9.00;-122.36;42.75
1996.00;8.00;13.00;9.00;-122.37;42.72
1996.00;8.00;13.00;9.00;-122.49;42.60
1996.00;8.00;13.00;9.00;-122.54;42.56
1996.00;8.00;13.00;9.00;-122.54;42.56
1996.00;8.00;13.00;9.00;-122.54;42.56
1996.00;8.00;13.00;9.00;-122.75;42.42
1996.00;8.00;13.00;9.00;-122.83;42.39
1996.00;8.00;13.00;9.00;-122.92;42.36
1996.00;9.00;12.00;9.00;-117.13;45.63
1996.00;9.00;12.00;9.00;-117.19;45.58
1996.00;9.00;12.00;9.00;-117.27;45.51
1996.00;9.00;12.00;9.00;-117.49;45.36
1996.00;9.00;12.00;9.00;-118.03;45.17
1996.00;9.00;12.00;9.00;-118.07;45.17
1996.00;9.00;12.00;9.00;-118.07;45.17
1996.00;9.00;12.00;9.00;-118.36;45.05
1996.00;9.00;12.00;9.00;-118.39;45.03
1996.00;9.00;12.00;9.00;-118.61;44.90
1996.00;9.00;12.00;9.00;-118.65;44.85
1996.00;9.00;12.00;9.00;-121.49;43.71
1996.00;9.00;12.00;9.00;-121.56;43.68
1996.00;9.00;11.00;9.00;-118.44;45.02
1996.00;9.00;11.00;9.00;-121.41;43.76
1996.00;9.00;11.00;9.00;-121.95;43.32
1996.00;9.00;11.00;9.00;-122.09;43.10
1996.00;9.00;11.00;9.00;-122.10;43.08
1996.00;9.00;11.00;9.00;-122.17;42.98
1996.00;9.00;11.00;9.00;-122.20;42.94
1996.00;9.00;10.00;9.00;-117.43;45.39
1996.00;8.00;10.00;9.00;-121.35;43.81
1996.00;9.00;10.00;9.00;-121.70;43.56
1996.00;9.00;10.00;9.00;-121.90;43.37
1996.00;9.00;10.00;9.00;-121.97;43.32
1996.00;9.00;10.00;9.00;-121.98;43.27
1996.00;9.00;10.00;9.00;-122.07;43.14
1996.00;9.00;10.00;9.00;-122.15;43.00
1996.00;9.00;9.00;9.00;-121.81;43.45
1996.00;9.00;9.00;9.00;-121.90;43.37
1996.00;9.00;8.00;9.00;-121.78;43.47
1996.00;9.00;8.00;9.00;-122.14;43.03
1996.00;9.00;7.00;9.00;-116.90;45.76
1996.00;9.00;7.00;9.00;-117.25;45.51
1996.00;9.00;7.00;9.00;-121.92;43.36
1996.00;9.00;7.00;9.00;-122.03;43.18
1996.00;9.00;7.00;9.00;-122.17;42.98
1996.00;9.00;6.00;9.00;-117.56;45.31
1996.00;9.00;6.00;9.00;-120.78;44.18
1996.00;9.00;6.00;9.00;-121.97;43.30
1996.00;9.00;5.00;9.00;-121.25;43.90
1996.00;9.00;5.00;9.00;-121.75;43.52
1996.00;9.00;4.00;9.00;-121.70;43.56
1996.00;9.00;4.00;9.00;-122.22;42.92
1996.00;9.00;3.00;9.00;-119.73;44.44
1996.00;9.00;3.00;9.00;-121.22;43.93
1996.00;9.00;3.00;9.00;-121.97;43.32
1996.00;9.00;3.00;9.00;-121.98;43.28
1996.00;9.00;3.00;9.00;-122.07;43.15
1996.00;9.00;2.00;9.00;-117.49;45.34
1996.00;9.00;2.00;9.00;-117.53;45.32
1996.00;9.00;2.00;9.00;-118.61;44.90
1996.00;9.00;2.00;9.00;-121.32;43.83
1996.00;9.00;2.00;9.00;-121.90;43.37
1996.00;9.00;2.00;9.00;-121.90;43.37
1996.00;9.00;2.00;9.00;-122.09;43.10
1996.00;9.00;2.00;9.00;-122.12;43.07
1996.00;7.00;31.00;8.00;-116.61;45.97
1996.00;7.00;31.00;8.00;-116.90;45.76
1996.00;7.00;31.00;8.00;-117.76;45.22
1996.00;7.00;31.00;8.00;-117.83;45.22
1996.00;7.00;31.00;8.00;-117.85;45.20
1996.00;8.00;31.00;8.00;-118.03;45.17
1996.00;7.00;31.00;8.00;-118.15;45.14
1996.00;7.00;31.00;8.00;-118.27;45.09
1996.00;7.00;31.00;8.00;-118.32;45.07
1996.00;7.00;31.00;8.00;-118.36;45.05
1996.00;7.00;31.00;8.00;-118.44;45.02
1996.00;7.00;31.00;8.00;-118.46;45.00
1996.00;7.00;31.00;8.00;-118.63;44.86
1996.00;7.00;31.00;8.00;-118.65;44.85
1996.00;7.00;31.00;8.00;-118.71;44.78
1996.00;7.00;31.00;8.00;-118.73;44.77
1996.00;7.00;31.00;8.00;-118.77;44.75
1996.00;7.00;31.00;8.00;-118.88;44.71
1996.00;7.00;31.00;8.00;-119.09;44.63
1996.00;7.00;31.00;8.00;-119.12;44.63
1996.00;8.00;31.00;8.00;-119.25;44.58
1996.00;7.00;31.00;8.00;-119.32;44.56
1996.00;7.00;31.00;8.00;-119.49;44.51
1996.00;7.00;31.00;8.00;-119.52;44.51
1996.00;7.00;31.00;8.00;-120.00;44.37
1996.00;7.00;31.00;8.00;-120.23;44.32
1996.00;7.00;31.00;8.00;-121.00;44.07
1996.00;7.00;31.00;8.00;-121.54;43.68
1996.00;7.00;31.00;8.00;-121.75;43.51
1996.00;7.00;31.00;8.00;-121.78;43.47
1996.00;9.00;1.00;9.00;-121.81;43.44
1996.00;8.00;31.00;8.00;-121.85;43.41
1996.00;8.00;31.00;8.00;-121.97;43.32
1996.00;9.00;1.00;9.00;-121.98;43.27
